('|', 15, 53)
('F', 15, 52)
('-', 16, 52)
('-', 17, 52)
('-', 18, 52)
('-', 19, 52)
('7', 20, 52)
('L', 20, 53)
('-', 21, 53)
('-', 22, 53)
('-', 23, 53)
('-', 24, 53)
('J', 25, 53)
('7', 25, 52)
('L', 24, 52)
('7', 24, 51)
('-', 23, 51)
('F', 22, 51)
('J', 22, 52)
('L', 21, 52)
('7', 21, 51)
('-', 20, 51)
('L', 19, 51)
('F', 19, 50)
('J', 20, 50)
('7', 20, 49)
('-', 19, 49)
('-', 18, 49)
('F', 17, 49)
('L', 17, 50)
('7', 18, 50)
('J', 18, 51)
('-', 17, 51)
('-', 16, 51)
('-', 15, 51)
('-', 14, 51)
('-', 13, 51)
('-', 12, 51)
('-', 11, 51)
('L', 10, 51)
('7', 10, 50)
('L', 9, 50)
('F', 9, 49)
('-', 10, 49)
('7', 11, 49)
('L', 11, 50)
('-', 12, 50)
('-', 13, 50)
('-', 14, 50)
('-', 15, 50)
('J', 16, 50)
('7', 16, 49)
('-', 15, 49)
('-', 14, 49)
('-', 13, 49)
('L', 12, 49)
('F', 12, 48)
('-', 13, 48)
('J', 14, 48)
('7', 14, 47)
('-', 13, 47)
('L', 12, 47)
('F', 12, 46)
('-', 13, 46)
('-', 14, 46)
('7', 15, 46)
('|', 15, 47)
('L', 15, 48)
('J', 16, 48)
('|', 16, 47)
('|', 16, 46)
('7', 16, 45)
('-', 15, 45)
('L', 14, 45)
('F', 14, 44)
('-', 15, 44)
('-', 16, 44)
('7', 17, 44)
('|', 17, 45)
('|', 17, 46)
('|', 17, 47)
('L', 17, 48)
('-', 18, 48)
('J', 19, 48)
('7', 19, 47)
('L', 18, 47)
('F', 18, 46)
('J', 19, 46)
('F', 19, 45)
('7', 20, 45)
('|', 20, 46)
('|', 20, 47)
('L', 20, 48)
('-', 21, 48)
('7', 22, 48)
('J', 22, 49)
('F', 21, 49)
('L', 21, 50)
('-', 22, 50)
('-', 23, 50)
('J', 24, 50)
('7', 24, 49)
('L', 23, 49)
('F', 23, 48)
('J', 24, 48)
('7', 24, 47)
('-', 23, 47)
('-', 22, 47)
('L', 21, 47)
('|', 21, 46)
('F', 21, 45)
('7', 22, 45)
('L', 22, 46)
('J', 23, 46)
('|', 23, 45)
('7', 23, 44)
('-', 22, 44)
('-', 21, 44)
('-', 20, 44)
('-', 19, 44)
('L', 18, 44)
('F', 18, 43)
('-', 19, 43)
('-', 20, 43)
('-', 21, 43)
('-', 22, 43)
('J', 23, 43)
('7', 23, 42)
('L', 22, 42)
('F', 22, 41)
('-', 23, 41)
('7', 24, 41)
('|', 24, 42)
('|', 24, 43)
('L', 24, 44)
('7', 25, 44)
('J', 25, 45)
('F', 24, 45)
('L', 24, 46)
('7', 25, 46)
('L', 25, 47)
('7', 26, 47)
('J', 26, 48)
('F', 25, 48)
('L', 25, 49)
('-', 26, 49)
('J', 27, 49)
('|', 27, 48)
('F', 27, 47)
('7', 28, 47)
('|', 28, 48)
('|', 28, 49)
('L', 28, 50)
('J', 29, 50)
('F', 29, 49)
('J', 30, 49)
('7', 30, 48)
('L', 29, 48)
('F', 29, 47)
('-', 30, 47)
('7', 31, 47)
('|', 31, 48)
('L', 31, 49)
('-', 32, 49)
('J', 33, 49)
('F', 33, 48)
('-', 34, 48)
('-', 35, 48)
('-', 36, 48)
('J', 37, 48)
('F', 37, 47)
('-', 38, 47)
('7', 39, 47)
('L', 39, 48)
('J', 40, 48)
('F', 40, 47)
('J', 41, 47)
('F', 41, 46)
('J', 42, 46)
('7', 42, 45)
('L', 41, 45)
('7', 41, 44)
('F', 40, 44)
('|', 40, 45)
('J', 40, 46)
('L', 39, 46)
('|', 39, 45)
('|', 39, 44)
('7', 39, 43)
('F', 38, 43)
('|', 38, 44)
('|', 38, 45)
('J', 38, 46)
('L', 37, 46)
('7', 37, 45)
('F', 36, 45)
('|', 36, 46)
('J', 36, 47)
('-', 35, 47)
('L', 34, 47)
('F', 34, 46)
('J', 35, 46)
('7', 35, 45)
('-', 34, 45)
('F', 33, 45)
('|', 33, 46)
('J', 33, 47)
('L', 32, 47)
('|', 32, 46)
('7', 32, 45)
('-', 31, 45)
('F', 30, 45)
('J', 30, 46)
('L', 29, 46)
('7', 29, 45)
('F', 28, 45)
('J', 28, 46)
('-', 27, 46)
('L', 26, 46)
('F', 26, 45)
('J', 27, 45)
('F', 27, 44)
('-', 28, 44)
('-', 29, 44)
('-', 30, 44)
('-', 31, 44)
('-', 32, 44)
('J', 33, 44)
('7', 33, 43)
('-', 32, 43)
('-', 31, 43)
('-', 30, 43)
('-', 29, 43)
('L', 28, 43)
('7', 28, 42)
('F', 27, 42)
('J', 27, 43)
('-', 26, 43)
('L', 25, 43)
('F', 25, 42)
('J', 26, 42)
('F', 26, 41)
('-', 27, 41)
('-', 28, 41)
('7', 29, 41)
('L', 29, 42)
('-', 30, 42)
('J', 31, 42)
('F', 31, 41)
('7', 32, 41)
('L', 32, 42)
('J', 33, 42)
('|', 33, 41)
('7', 33, 40)
('-', 32, 40)
('-', 31, 40)
('-', 30, 40)
('-', 29, 40)
('-', 28, 40)
('-', 27, 40)
('-', 26, 40)
('L', 25, 40)
('F', 25, 39)
('-', 26, 39)
('-', 27, 39)
('J', 28, 39)
('F', 28, 38)
('7', 29, 38)
('L', 29, 39)
('J', 30, 39)
('F', 30, 38)
('7', 31, 38)
('L', 31, 39)
('-', 32, 39)
('J', 33, 39)
('F', 33, 38)
('7', 34, 38)
('|', 34, 39)
('|', 34, 40)
('|', 34, 41)
('|', 34, 42)
('|', 34, 43)
('L', 34, 44)
('-', 35, 44)
('-', 36, 44)
('J', 37, 44)
('7', 37, 43)
('-', 36, 43)
('L', 35, 43)
('F', 35, 42)
('-', 36, 42)
('-', 37, 42)
('-', 38, 42)
('J', 39, 42)
('7', 39, 41)
('-', 38, 41)
('-', 37, 41)
('-', 36, 41)
('L', 35, 41)
('|', 35, 40)
('F', 35, 39)
('7', 36, 39)
('L', 36, 40)
('J', 37, 40)
('F', 37, 39)
('7', 38, 39)
('L', 38, 40)
('J', 39, 40)
('|', 39, 39)
('7', 39, 38)
('-', 38, 38)
('L', 37, 38)
('|', 37, 37)
('7', 37, 36)
('F', 36, 36)
('|', 36, 37)
('J', 36, 38)
('L', 35, 38)
('7', 35, 37)
('-', 34, 37)
('-', 33, 37)
('-', 32, 37)
('-', 31, 37)
('-', 30, 37)
('-', 29, 37)
('-', 28, 37)
('F', 27, 37)
('J', 27, 38)
('L', 26, 38)
('7', 26, 37)
('L', 25, 37)
('F', 25, 36)
('-', 26, 36)
('-', 27, 36)
('-', 28, 36)
('-', 29, 36)
('-', 30, 36)
('-', 31, 36)
('-', 32, 36)
('J', 33, 36)
('7', 33, 35)
('-', 32, 35)
('-', 31, 35)
('-', 30, 35)
('-', 29, 35)
('-', 28, 35)
('-', 27, 35)
('L', 26, 35)
('|', 26, 34)
('F', 26, 33)
('7', 27, 33)
('L', 27, 34)
('-', 28, 34)
('-', 29, 34)
('-', 30, 34)
('-', 31, 34)
('J', 32, 34)
('7', 32, 33)
('-', 31, 33)
('-', 30, 33)
('-', 29, 33)
('L', 28, 33)
('7', 28, 32)
('-', 27, 32)
('-', 26, 32)
('F', 25, 32)
('|', 25, 33)
('|', 25, 34)
('J', 25, 35)
('F', 24, 35)
('J', 24, 36)
('F', 23, 36)
('L', 23, 37)
('7', 24, 37)
('J', 24, 38)
('F', 23, 38)
('L', 23, 39)
('7', 24, 39)
('J', 24, 40)
('-', 23, 40)
('L', 22, 40)
('7', 22, 39)
('-', 21, 39)
('F', 20, 39)
('J', 20, 40)
('F', 19, 40)
('L', 19, 41)
('-', 20, 41)
('7', 21, 41)
('J', 21, 42)
('-', 20, 42)
('-', 19, 42)
('L', 18, 42)
('|', 18, 41)
('7', 18, 40)
('-', 17, 40)
('F', 16, 40)
('J', 16, 41)
('F', 15, 41)
('L', 15, 42)
('-', 16, 42)
('7', 17, 42)
('J', 17, 43)
('-', 16, 43)
('-', 15, 43)
('L', 14, 43)
('|', 14, 42)
('7', 14, 41)
('F', 13, 41)
('J', 13, 42)
('F', 12, 42)
('L', 12, 43)
('7', 13, 43)
('J', 13, 44)
('F', 12, 44)
('J', 12, 45)
('F', 11, 45)
('|', 11, 46)
('|', 11, 47)
('J', 11, 48)
('L', 10, 48)
('|', 10, 47)
('|', 10, 46)
('7', 10, 45)
('F', 9, 45)
('|', 9, 46)
('|', 9, 47)
('J', 9, 48)
('L', 8, 48)
('|', 8, 47)
('7', 8, 46)
('L', 7, 46)
('F', 7, 45)
('J', 8, 45)
('F', 8, 44)
('-', 9, 44)
('-', 10, 44)
('J', 11, 44)
('|', 11, 43)
('7', 11, 42)
('F', 10, 42)
('J', 10, 43)
('L', 9, 43)
('7', 9, 42)
('F', 8, 42)
('J', 8, 43)
('L', 7, 43)
('7', 7, 42)
('L', 6, 42)
('F', 6, 41)
('-', 7, 41)
('J', 8, 41)
('|', 8, 40)
('F', 8, 39)
('7', 9, 39)
('|', 9, 40)
('L', 9, 41)
('J', 10, 41)
('|', 10, 40)
('F', 10, 39)
('7', 11, 39)
('|', 11, 40)
('L', 11, 41)
('J', 12, 41)
('F', 12, 40)
('J', 13, 40)
('F', 13, 39)
('7', 14, 39)
('L', 14, 40)
('J', 15, 40)
('|', 15, 39)
('7', 15, 38)
('-', 14, 38)
('-', 13, 38)
('-', 12, 38)
('-', 11, 38)
('-', 10, 38)
('-', 9, 38)
('L', 8, 38)
('F', 8, 37)
('-', 9, 37)
('-', 10, 37)
('-', 11, 37)
('-', 12, 37)
('J', 13, 37)
('F', 13, 36)
('7', 14, 36)
('L', 14, 37)
('-', 15, 37)
('7', 16, 37)
('|', 16, 38)
('L', 16, 39)
('J', 17, 39)
('F', 17, 38)
('7', 18, 38)
('L', 18, 39)
('J', 19, 39)
('F', 19, 38)
('-', 20, 38)
('-', 21, 38)
('J', 22, 38)
('|', 22, 37)
('7', 22, 36)
('F', 21, 36)
('J', 21, 37)
('L', 20, 37)
('7', 20, 36)
('F', 19, 36)
('J', 19, 37)
('L', 18, 37)
('7', 18, 36)
('L', 17, 36)
('F', 17, 35)
('-', 18, 35)
('-', 19, 35)
('-', 20, 35)
('-', 21, 35)
('-', 22, 35)
('J', 23, 35)
('F', 23, 34)
